stationName,hotPlaceCount,hotPlaceSignal,cafeCount,restaurantCount,commercialCount,radius,lat,lng,name,address
당산역,356,468.7,66,288,2,600,37.5347843171332,126.902611795523,당산역 2호선,서울 영등포구 당산로 229
덕계역,123,162.9,21,102,0,600,37.8187525814885,127.056691678415,덕계역 1호선,경기 양주시 덕계로 126
덕정역,131,174,19,112,0,600,37.8431876500694,127.06155932141,덕정역 1호선,경기 양주시 화합로 1356
도봉산역,126,166.85,15,110,1,600,37.68951167833238,127.04606271663916,도봉산역 1호선,서울 도봉구 도봉로 948
동대문역,760,983.95,147,593,20,600,37.57166940579655,127.0106338108367,동대문역 1호선,서울 종로구 종로 지하 302
동대문역사문화공원역,776,994.25,169,579,28,600,37.56566440553802,127.00900417014896,동대문역사문화공원역 2호선,서울 중구 을지로 지하 279
동두천역,20,26.4,4,16,0,600,37.9276132662293,127.05492800053,동두천역 1호선,경기 동두천시 평화로 2687
동두천중앙역,254,335.6,42,211,1,600,37.9017807357936,127.05642330094,동두천중앙역 1호선,경기 동두천시 동두천로 228
동묘앞역,553,727.65,86,461,6,600,37.5732166600283,127.016364227103,동묘앞역 1호선,서울 종로구 종로 359
둔촌동역,478,629.55,85,390,3,600,37.52765684247226,127.13621464981398,둔촌동역 5호선,서울 강동구 양재대로 지하 1369
디지털미디어시티역,284,374.2,48,234,2,600,37.57601374718818,126.90127778415635,디지털미디어시티역 6호선,서울 은평구 수색로 지하 175
뚝섬역,872,1114.75,243,603,26,600,37.547241554679,127.04738727881,뚝섬역 2호선,서울 성동구 아차산로 18
마포역,670,884.3,108,558,4,600,37.53955402908912,126.94586257221307,마포역 5호선,서울 마포구 마포대로 지하 33
망우역,504,666.25,81,421,2,600,37.5992960295399,127.092367383432,망우역 경의중앙선,서울 중랑구 망우로55길 11-10
망원역,964,1246.7,258,690,16,600,37.5560826563712,126.910094329982,망원역 6호선,서울 마포구 월드컵로 지하 77
명동역,1190,1530.9,284,873,33,600,37.56096526943837,126.98640235001736,명동역 4호선,서울 중구 퇴계로 지하 126
문래역,779,1011.75,166,598,15,600,37.5179757181801,126.894778820701,문래역 2호선,서울 영등포구 당산로 지하 28
문정역,903,1185.75,202,698,3,600,37.4860310539381,127.122484886901,문정역 8호선,서울 송파구 송파대로 지하 179
미금역,451,595.6,75,374,2,600,37.35007159880101,127.10900662549734,미금역 수인분당선,경기 성남시 분당구 성남대로 지하 156
미아사거리역,604,798.35,87,513,4,600,37.61327836400571,127.03008663628454,미아사거리역 4호선,서울 강북구 도봉로 지하 50
범계역,649,853.05,134,512,3,600,37.3897837540429,126.950783269518,범계역 4호선,경기 안양시 동안구 동안로 지하 130
병점역,235,309.35,46,188,1,600,37.206754501269934,127.03320150038793,병점역 1호선,경기 화성시 병점구 떡전골로 97
보산역,103,135.55,10,91,2,600,37.914144018035586,127.0571810247491,보산역 1호선,경기 동두천시 평화로 2539
